15.02.2020 03:53:42: 21h 27min | Donnie Turbo(76561198041233395) | Deleting d3s_challenger_15_CPU @034011..
15.02.2020 03:54:16: 21h 28min | K-12 J Shepard(76561198043298972) | Teleport to [3659.34,3244.94,0](GPS: 036001)
15.02.2020 04:01:29: 21h 35min | Sherman(76561198038112694) | Teleport to [3650.71,3239.96,0](GPS: 036001)
15.02.2020 04:01:42: 21h 35min | Sherman(76561198038112694) | Teleport to [3469.25,4111.63,0](GPS: 034010)
15.02.2020 04:12:53: 21h 46min | Nino Marino(76561198206026112) | God Mode - 0
15.02.2020 04:30:19: 22h 4min | Nino Marino(76561198206026112) | spawning A3L Traffic Vest (A3L_ttfvest)
15.02.2020 04:30:21: 22h 4min | Nino Marino(76561198206026112) | spawning A3L DoJ Vest (A3L_deptjvest1)
15.02.2020 04:31:31: 22h 5min | Donnie Turbo(76561198041233395) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:34:12: 22h 8min | Sherman(76561198038112694) | unlocked - [d3s_mclaren_18]
15.02.2020 04:34:16: 22h 8min | Sherman(76561198038112694) | locked - [d3s_mclaren_18]
15.02.2020 04:34:29: 22h 8min | Sherman(76561198038112694) | Teleport to [2079.76,3664.75,0](GPS: 020005)
15.02.2020 04:34:32: 22h 8min | Sherman(76561198038112694) | Teleport to [3648.56,3239.38,0](GPS: 036001)
15.02.2020 04:35:14: 22h 9min | Sherman(76561198038112694) | Teleport to [2425.55,3321.76,0](GPS: 024002)
15.02.2020 04:35:17: 22h 9min | Sherman(76561198038112694) | Teleport to [2636.51,3387.3,0](GPS: 026003)
15.02.2020 04:35:52: 22h 9min | Sherman(76561198038112694) | unlocked - [d3s_mclaren_18]
15.02.2020 04:36:46: 22h 10min | Sherman(76561198038112694) | HealRepairNear
15.02.2020 04:38:42: 22h 12min | Nino Marino(76561198206026112) | spawning Carroceria (Fapret_Carroceria)
15.02.2020 04:39:20: 22h 13min | Sherman(76561198038112694) | locked - [d3s_mclaren_18]
15.02.2020 04:39:40: 22h 13min | Nino Marino(76561198206026112) | Deleting GroundWeaponHolder @034011..
15.02.2020 04:39:47: 22h 13min | Sherman(76561198038112694) | unlocked - [d3s_mclaren_18]
15.02.2020 04:39:49: 22h 13min | Donnie Turbo(76561198041233395) | spawning Dodge Challenger Police Undercover'15 (d3s_challenger_15_CPU)
15.02.2020 04:40:11: 22h 14min | Donnie Turbo(76561198041233395) | locked - [d3s_challenger_15_CPU]
