28.01.2020 02:48:29: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Mike Hutchinson(76561198043298972) - d3s_explorer_UNM_13
28.01.2020 02:48:31: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on H̩ctor "Lil Loco" Arturo(76561197999316388) - C_man_1
28.01.2020 02:48:32: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Donnie Turbo(76561198041233395) - d3s_g500_18_EMS
28.01.2020 02:48:35: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on [ION]Eriden Parker(76561198054085448) - C_man_1
28.01.2020 02:48:36: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on [1k-40] Jose Santana(76561198206026112) - B_RangeMaster_F
28.01.2020 02:48:38: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_explorer_UNM_13
28.01.2020 02:48:40: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Boyevik Butch-Mac Volkev(76561198089960350) - d3s_explorer_UNM_13
28.01.2020 02:48:42: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_explorer_UNM_13
28.01.2020 02:48:43: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on Wyclef(76561198038112694) - d3s_explorer_UNM_13
28.01.2020 02:48:48: 0h 49min | H̩ctor "Lil Loco" Arturo(76561197999316388) | SPECTATE - switchedCamera on [1k-40] Jose Santana(76561198206026112) - B_RangeMaster_F
28.01.2020 02:49:35: 0h 50min | Boyevik Butch-Mac Volkev(76561198089960350) | spawning Ford Explorer Unmarked'13 (d3s_explorer_UNM_13)
